id,enlem,boylam,yangin_var,yangin_yuzdesi,zaman
1,29.5771921690672,-95.7542586759733,False,0.2984707262933254,2026-05-10 23:40:36.306557
2,29.5771921628217,-95.7542587772306,False,0.32120503073632706,2026-05-10 23:40:36.306557
3,29.5771921194204,-95.7542589817679,False,0.42789639647752037,2026-05-10 23:40:36.306557
4,29.5771921548378,-95.7542589637545,True,0.876339301692918,2026-05-10 23:40:36.306557
5,29.5771923493343,-95.7542590731795,True,0.7557717705474719,2026-05-10 23:40:36.306557
6,29.5771922672086,-95.7542590437022,False,0.6087144710059889,2026-05-10 23:40:36.306557
7,29.5771922369782,-95.7542591733957,True,0.7009101786469198,2026-05-10 23:40:36.306557
8,29.5771923949246,-95.7542593616262,False,0.5780369864428172,2026-05-10 23:40:36.306557
9,29.5771925272215,-95.7542595213215,False,0.631973068612937,2026-05-10 23:40:36.306557
10,29.577192480194,-95.7542596693623,True,0.7489452939349781,2026-05-10 23:40:36.306557
11,29.5771926329445,-95.7542598250613,True,0.8014119002580157,2026-05-10 23:40:36.306557
12,29.5771926715509,-95.7542599515718,True,0.8808704435560659,2026-05-10 23:40:36.306557
13,29.5771927358919,-95.7542601746544,True,0.8805051401201949,2026-05-10 23:40:36.306557
14,29.5771926529797,-95.7542602538513,True,0.8628266181058902,2026-05-10 23:40:36.306557
15,29.5771924285125,-95.7542604701272,True,0.8400205956574445,2026-05-10 23:40:36.306557
16,29.5771924925144,-95.7542605962215,True,0.8891359253259554,2026-05-10 23:40:36.306557
17,29.5771923287337,-95.7542607310157,True,0.946074867654206,2026-05-10 23:40:36.306557
18,29.5771923434007,-95.7542609389801,True,0.9355380318809632,2026-05-10 23:40:36.306557
19,29.5771921432299,-95.7542610860524,True,0.8842707399227941,2026-05-10 23:40:36.306557
20,29.5771919171559,-95.7542611459434,True,0.8784626852337603,2026-05-10 23:40:36.306557
21,29.5771917859314,-95.754261357502,True,0.8926824111027741,2026-05-10 23:40:36.306557
22,29.5771918204796,-95.7542616165805,True,0.9074816974509724,2026-05-10 23:40:36.306557
23,29.5771917303428,-95.7542615444884,True,0.8628328890379955,2026-05-10 23:40:36.306557
24,29.5771916101966,-95.7542616333751,True,0.7100179427664579,2026-05-10 23:40:36.306557
25,29.5771907021192,-95.7542629057597,True,0.7895698059761852,2026-05-10 23:40:36.306557
26,29.5771896394997,-95.7542651327148,False,0.5951016899718145,2026-05-10 23:40:36.306557
27,29.57719004318,-95.7542664537342,False,0.484690063800016,2026-05-10 23:40:36.306557
28,29.577192561523,-95.7542668013122,True,0.7758301025605439,2026-05-10 23:40:36.306557
29,29.577199501771,-95.7542661364886,True,0.7774377869384359,2026-05-10 23:40:36.306557
30,29.5772107472279,-95.7542650370779,True,0.6688396375446579,2026-05-10 23:40:36.306557
31,29.5772262052521,-95.7542633631576,False,0.6382048717483598,2026-05-10 23:40:36.306557
32,29.57724494392,-95.7542607947059,True,0.7673931138666693,2026-05-10 23:40:36.306557
33,29.5772673996938,-95.7542545506873,True,0.81168004116512,2026-05-10 23:40:36.306557
34,29.5772932410026,-95.7542454870329,True,0.7813165263590116,2026-05-10 23:40:36.306557
35,29.5773225755126,-95.7542353407069,True,0.8053398015003471,2026-05-10 23:40:36.306557
36,29.5773537514476,-95.7542250425606,True,0.886840945293734,2026-05-10 23:40:36.306557
37,29.5773885387764,-95.7542140215054,True,0.8811158981377569,2026-05-10 23:40:36.306557
38,29.5774248345393,-95.7542030785924,True,0.8473895363967028,2026-05-10 23:40:36.306557
39,29.5774641348856,-95.7541887371009,True,0.7099589467954757,2026-05-10 23:40:36.306557
40,29.5775006693784,-95.7541703257402,True,0.76689262710147,2026-05-10 23:40:36.306557
41,29.5775366308674,-95.7541481719734,True,0.7746022308556225,2026-05-10 23:40:36.306557
42,29.5775702293408,-95.754126544563,True,0.7689090250363345,2026-05-10 23:40:36.306557
43,29.5776015042201,-95.7541051648653,True,0.8030839356336115,2026-05-10 23:40:36.306557
44,29.5776274783708,-95.7540857326782,False,0.5827510409614424,2026-05-10 23:40:36.306557
45,29.5776427682354,-95.7540741874141,False,0.5576141054374272,2026-05-10 23:40:36.306557
46,29.5776476545574,-95.7540706825944,False,0.5590292753285853,2026-05-10 23:40:36.306557
47,29.5776476816026,-95.7540698182447,False,0.6291027835484352,2026-05-10 23:40:36.306557
48,29.5776485374086,-95.7540691249208,False,0.5816150280996204,2026-05-10 23:40:36.306557
49,29.5776488832119,-95.7540672618002,False,0.4978166670573961,2026-05-10 23:40:36.306557
50,29.5776477310552,-95.7540582639377,False,0.5768218571261529,2026-05-10 23:40:36.306557
51,29.5776452197601,-95.7540408172648,False,0.4774841119168985,2026-05-10 23:40:36.306557
52,29.5776418256659,-95.7540176174345,False,0.27501142371891846,2026-05-10 23:40:36.306557
53,29.5776368898912,-95.7539896492889,False,0.2886741508543459,2026-05-10 23:40:36.306557
54,29.577631705629,-95.753958361889,False,0.37206757007777586,2026-05-10 23:40:36.306557
55,29.577626029238,-95.7539221746881,False,0.42423917126518457,2026-05-10 23:40:36.306557
56,29.5776190893829,-95.7538831325108,False,0.504287611313458,2026-05-10 23:40:36.306557
57,29.5776118226405,-95.7538404971147,False,0.5488937359678137,2026-05-10 23:40:36.306557
58,29.5776044057946,-95.7537973741538,False,0.5596058276804502,2026-05-10 23:40:36.306557
59,29.5775966118793,-95.7537545879648,False,0.5871010731933181,2026-05-10 23:40:36.306557
60,29.577586697834,-95.7537113371433,False,0.4406623055782108,2026-05-10 23:40:36.306557
61,29.5775754805646,-95.7536688278741,False,0.40505587057251297,2026-05-10 23:40:36.306557
62,29.5775630550679,-95.7536289067485,False,0.3887173572086648,2026-05-10 23:40:36.306557
63,29.5775521021015,-95.7535972758389,False,0.484639748006563,2026-05-10 23:40:36.306557
64,29.5775362938707,-95.7535536960471,False,0.5416958418134601,2026-05-10 23:40:36.306557
65,29.5775278068374,-95.753530048409,False,0.575159669420831,2026-05-10 23:40:36.306557
66,29.5775242631349,-95.7535194839286,True,0.6655744265048839,2026-05-10 23:40:36.306557
67,29.5775238770764,-95.7535168883379,True,0.6522662276211123,2026-05-10 23:40:36.306557
68,29.5775226563166,-95.7535142184344,False,0.540709116886819,2026-05-10 23:40:36.306557
69,29.5775207142734,-95.7535128135041,False,0.48120794947110546,2026-05-10 23:40:36.306557
70,29.5775196345759,-95.7535128761538,False,0.6445697115539399,2026-05-10 23:40:36.306557
